depthInfo,district,val,year
Valby-60m ~ 79m,Valby,6500.0,2009.0
Valby-80m ~ 99m,Valby,4755.0,2009.0
Valby-100m ~ 119m,Valby,3020.0,2009.0
Valby-120m,Valby,2839.0,2009.0
Vanløse-Under 40m,Vanløse,675.0,2009.0
Vanløse-40m ~ 50m,Vanløse,5077.0,2009.0
Vanløse-60m ~ 79m,Vanløse,5483.0,2009.0
Vanløse-80m ~ 99m,Vanløse,3334.0,2009.0
Vanløse-100m ~ 119m,Vanløse,1397.0,2009.0
Vanløse-120m,Vanløse,1751.0,2009.0
Vesterbro~kongens Enghave-Under 40m,Vesterbro~kongens Enghave,3051.0,2009.0
Vesterbro~kongens Enghave-40m ~ 50m,Vesterbro~kongens Enghave,6650.0,2009.0
Vesterbro~kongens Enghave-60m ~ 79m,Vesterbro~kongens Enghave,8482.0,2009.0
Vesterbro~kongens Enghave-80m ~ 99m,Vesterbro~kongens Enghave,6190.0,2009.0
Vesterbro~kongens Enghave-100m ~ 119m,Vesterbro~kongens Enghave,2861.0,2009.0
Vesterbro~kongens Enghave-120m,Vesterbro~kongens Enghave,3507.0,2009.0
Østerbro-Under 40m,Østerbro,2325.0,2009.0
Østerbro-40m ~ 50m,Østerbro,11539.0,2009.0
Østerbro-60m ~ 79m,Østerbro,12012.0,2009.0
Østerbro-80m ~ 99m,Østerbro,7439.0,2009.0
Østerbro-100m ~ 119m,Østerbro,4016.0,2009.0
Østerbro-120m,Østerbro,4063.0,2009.0
Amager Vest-Under 40m,Amager Vest,1774.0,2010.0
Amager Vest-40m ~ 50m,Amager Vest,7375.0,2010.0
Amager Vest-60m ~ 79m,Amager Vest,8073.0,2010.0
Amager Vest-80m ~ 99m,Amager Vest,6788.0,2010.0
Amager Vest-100m ~ 119m,Amager Vest,3432.0,2010.0
Amager Vest-120m,Amager Vest,3061.0,2010.0
Amager Øst-Under 40m,Amager Øst,1689.0,2010.0
Amager Øst-40m ~ 50m,Amager Øst,8126.0,2010.0
Amager Øst-60m ~ 79m,Amager Øst,8319.0,2010.0
Amager Øst-80m ~ 99m,Amager Øst,4447.0,2010.0
Amager Øst-100m ~ 119m,Amager Øst,2544.0,2010.0
Amager Øst-120m,Amager Øst,2792.0,2010.0
Bispebjerg-Under 40m,Bispebjerg,1938.0,2010.0
Bispebjerg-40m ~ 50m,Bispebjerg,6318.0,2010.0
Bispebjerg-60m ~ 79m,Bispebjerg,7540.0,2010.0
Bispebjerg-80m ~ 99m,Bispebjerg,4265.0,2010.0
Bispebjerg-100m ~ 119m,Bispebjerg,1793.0,2010.0
Bispebjerg-120m,Bispebjerg,2230.0,2010.0
Brønshøj~Husum-Under 40m,Brønshøj~Husum,1335.0,2010.0
Brønshøj~Husum-40m ~ 50m,Brønshøj~Husum,5930.0,2010.0
