depthInfo,district,val,year
nørrebro-single-Without Kids,nørrebro,20584.0,2010.0
valby-couple-With Kids,valby,3260.0,2010.0
valby-couple-Without Kids,valby,4294.0,2010.0
valby-single-With Kids,valby,1234.0,2010.0
valby-single-Without Kids,valby,10449.0,2010.0
vanløse-couple-With Kids,vanløse,2329.0,2010.0
vanløse-couple-Without Kids,vanløse,3151.0,2010.0
vanløse-single-With Kids,vanløse,995.0,2010.0
vanløse-single-Without Kids,vanløse,8355.0,2010.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,3791.0,2010.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5338.0,2010.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1686.0,2010.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,14584.0,2010.0
østerbro-couple-With Kids,østerbro,5754.0,2010.0
østerbro-couple-Without Kids,østerbro,7151.0,2010.0
østerbro-single-With Kids,østerbro,2597.0,2010.0
østerbro-single-Without Kids,østerbro,19764.0,2010.0
amager_vest-couple-With Kids,amager_vest,4420.0,2011.0
amager_vest-couple-Without Kids,amager_vest,5316.0,2011.0
amager_vest-single-With Kids,amager_vest,2117.0,2011.0
amager_vest-single-Without Kids,amager_vest,13522.0,2011.0
amager_øst-couple-With Kids,amager_øst,3663.0,2011.0
amager_øst-couple-Without Kids,amager_øst,5008.0,2011.0
amager_øst-single-With Kids,amager_øst,1387.0,2011.0
amager_øst-single-Without Kids,amager_øst,13815.0,2011.0
bispebjerg-couple-With Kids,bispebjerg,2628.0,2011.0
bispebjerg-couple-Without Kids,bispebjerg,4040.0,2011.0
bispebjerg-single-With Kids,bispebjerg,1578.0,2011.0
bispebjerg-single-Without Kids,bispebjerg,12031.0,2011.0
brønshøj husum-couple-With Kids,brønshøj husum,2337.0,2011.0
brønshøj husum-couple-Without Kids,brønshøj husum,3576.0,2011.0
brønshøj husum-single-With Kids,brønshøj husum,1194.0,2011.0
brønshøj husum-single-Without Kids,brønshøj husum,9779.0,2011.0
indre_by-couple-With Kids,indre_by,4333.0,2011.0
indre_by-couple-Without Kids,indre_by,5968.0,2011.0
indre_by-single-With Kids,indre_by,2186.0,2011.0
indre_by-single-Without Kids,indre_by,16773.0,2011.0
nørrebro-couple-With Kids,nørrebro,5568.0,2011.0
nørrebro-couple-Without Kids,nørrebro,7161.0,2011.0
nørrebro-single-With Kids,nørrebro,2536.0,2011.0
nørrebro-single-Without Kids,nørrebro,20056.0,2011.0
valby-couple-With Kids,valby,3383.0,2011.0
valby-couple-Without Kids,valby,4235.0,2011.0
valby-single-With Kids,valby,1220.0,2011.0
valby-single-Without Kids,valby,10395.0,2011.0
vanløse-couple-With Kids,vanløse,2344.0,2011.0
vanløse-couple-Without Kids,vanløse,3148.0,2011.0
vanløse-single-With Kids,vanløse,1010.0,2011.0
vanløse-single-Without Kids,vanløse,8315.0,2011.0
vesterbro kongens_enghave-couple-With Kids,vesterbro kongens_enghave,3873.0,2011.0
vesterbro kongens_enghave-couple-Without Kids,vesterbro kongens_enghave,5293.0,2011.0
vesterbro kongens_enghave-single-With Kids,vesterbro kongens_enghave,1759.0,2011.0
vesterbro kongens_enghave-single-Without Kids,vesterbro kongens_enghave,14638.0,2011.0
østerbro-couple-With Kids,østerbro,5953.0,2011.0
østerbro-couple-Without Kids,østerbro,7191.0,2011.0
østerbro-single-With Kids,østerbro,2631.0,2011.0
