depthInfo,district,val,year
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,9985.0,2010.0
Indre By-couple-With Kids,Indre By,4263.0,2010.0
Indre By-couple-Without Kids,Indre By,5924.0,2010.0
Indre By-single-With Kids,Indre By,2180.0,2010.0
Indre By-single-Without Kids,Indre By,16823.0,2010.0
Nørrebro-couple-With Kids,Nørrebro,5410.0,2010.0
Nørrebro-couple-Without Kids,Nørrebro,7276.0,2010.0
Nørrebro-single-With Kids,Nørrebro,2555.0,2010.0
Nørrebro-single-Without Kids,Nørrebro,20584.0,2010.0
Valby-couple-With Kids,Valby,3260.0,2010.0
Valby-couple-Without Kids,Valby,4294.0,2010.0
Valby-single-With Kids,Valby,1234.0,2010.0
Valby-single-Without Kids,Valby,10449.0,2010.0
Vanløse-couple-With Kids,Vanløse,2329.0,2010.0
Vanløse-couple-Without Kids,Vanløse,3151.0,2010.0
Vanløse-single-With Kids,Vanløse,995.0,2010.0
Vanløse-single-Without Kids,Vanløse,8355.0,2010.0
Vesterbro~kongens Enghave-couple-With Kids,Vesterbro~kongens Enghave,3791.0,2010.0
Vesterbro~kongens Enghave-couple-Without Kids,Vesterbro~kongens Enghave,5338.0,2010.0
Vesterbro~kongens Enghave-single-With Kids,Vesterbro~kongens Enghave,1686.0,2010.0
Vesterbro~kongens Enghave-single-Without Kids,Vesterbro~kongens Enghave,14584.0,2010.0
Østerbro-couple-With Kids,Østerbro,5754.0,2010.0
Østerbro-couple-Without Kids,Østerbro,7151.0,2010.0
Østerbro-single-With Kids,Østerbro,2597.0,2010.0
Østerbro-single-Without Kids,Østerbro,19764.0,2010.0
Amager Vest-couple-With Kids,Amager Vest,4420.0,2011.0
Amager Vest-couple-Without Kids,Amager Vest,5316.0,2011.0
Amager Vest-single-With Kids,Amager Vest,2117.0,2011.0
Amager Vest-single-Without Kids,Amager Vest,13522.0,2011.0
Amager Øst-couple-With Kids,Amager Øst,3663.0,2011.0
Amager Øst-couple-Without Kids,Amager Øst,5008.0,2011.0
Amager Øst-single-With Kids,Amager Øst,1387.0,2011.0
Amager Øst-single-Without Kids,Amager Øst,13815.0,2011.0
Bispebjerg-couple-With Kids,Bispebjerg,2628.0,2011.0
Bispebjerg-couple-Without Kids,Bispebjerg,4040.0,2011.0
Bispebjerg-single-With Kids,Bispebjerg,1578.0,2011.0
Bispebjerg-single-Without Kids,Bispebjerg,12031.0,2011.0
Brønshøj~Husum-couple-With Kids,Brønshøj~Husum,2337.0,2011.0
Brønshøj~Husum-couple-Without Kids,Brønshøj~Husum,3576.0,2011.0
Brønshøj~Husum-single-With Kids,Brønshøj~Husum,1194.0,2011.0
Brønshøj~Husum-single-Without Kids,Brønshøj~Husum,9779.0,2011.0
Indre By-couple-With Kids,Indre By,4333.0,2011.0
Indre By-couple-Without Kids,Indre By,5968.0,2011.0
Indre By-single-With Kids,Indre By,2186.0,2011.0
Indre By-single-Without Kids,Indre By,16773.0,2011.0
Nørrebro-couple-With Kids,Nørrebro,5568.0,2011.0
Nørrebro-couple-Without Kids,Nørrebro,7161.0,2011.0
Nørrebro-single-With Kids,Nørrebro,2536.0,2011.0
Nørrebro-single-Without Kids,Nørrebro,20056.0,2011.0
Valby-couple-With Kids,Valby,3383.0,2011.0
Valby-couple-Without Kids,Valby,4235.0,2011.0
Valby-single-With Kids,Valby,1220.0,2011.0
Valby-single-Without Kids,Valby,10395.0,2011.0
Vanløse-couple-With Kids,Vanløse,2344.0,2011.0
Vanløse-couple-Without Kids,Vanløse,3148.0,2011.0
Vanløse-single-With Kids,Vanløse,1010.0,2011.0
