depthInfo,district,val,year
Vanløse-Social,Vanløse,3511.0,2010.0
Vanløse-Private,Vanløse,3545.0,2010.0
Vanløse-Cooperative,Vanløse,6527.0,2010.0
Vanløse-Officially Owned,Vanløse,15.0,2010.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5486.0,2010.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4525.0,2010.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,10916.0,2010.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,723.0,2010.0
Østerbro-Social,Østerbro,10474.0,2010.0
Østerbro-Private,Østerbro,10509.0,2010.0
Østerbro-Cooperative,Østerbro,12032.0,2010.0
Østerbro-Officially Owned,Østerbro,1077.0,2010.0
Amager Vest-Social,Amager Vest,6229.0,2011.0
Amager Vest-Private,Amager Vest,7414.0,2011.0
Amager Vest-Cooperative,Amager Vest,9378.0,2011.0
Amager Vest-Officially Owned,Amager Vest,475.0,2011.0
Amager Øst-Social,Amager Øst,3280.0,2011.0
Amager Øst-Private,Amager Øst,6968.0,2011.0
Amager Øst-Cooperative,Amager Øst,10374.0,2011.0
Amager Øst-Officially Owned,Amager Øst,535.0,2011.0
Bispebjerg-Social,Bispebjerg,7392.0,2011.0
Bispebjerg-Private,Bispebjerg,3833.0,2011.0
Bispebjerg-Cooperative,Bispebjerg,4972.0,2011.0
Bispebjerg-Officially Owned,Bispebjerg,347.0,2011.0
Brønshøj~Husum-Social,Brønshøj~Husum,3511.0,2011.0
Brønshøj~Husum-Private,Brønshøj~Husum,2509.0,2011.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8564.0,2011.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,44.0,2011.0
Indre By-Social,Indre By,6765.0,2011.0
Indre By-Private,Indre By,5222.0,2011.0
Indre By-Cooperative,Indre By,12004.0,2011.0
Indre By-Officially Owned,Indre By,1470.0,2011.0
Nørrebro-Social,Nørrebro,10465.0,2011.0
Nørrebro-Private,Nørrebro,9150.0,2011.0
Nørrebro-Cooperative,Nørrebro,12826.0,2011.0
Nørrebro-Officially Owned,Nørrebro,168.0,2011.0
Valby-Social,Valby,2851.0,2011.0
Valby-Private,Valby,5107.0,2011.0
Valby-Cooperative,Valby,8288.0,2011.0
Valby-Officially Owned,Valby,674.0,2011.0
Vanløse-Social,Vanløse,3506.0,2011.0
Vanløse-Private,Vanløse,3436.0,2011.0
Vanløse-Cooperative,Vanløse,6516.0,2011.0
Vanløse-Officially Owned,Vanløse,27.0,2011.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5486.0,2011.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4265.0,2011.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,10907.0,2011.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,723.0,2011.0
Østerbro-Social,Østerbro,10474.0,2011.0
Østerbro-Private,Østerbro,10310.0,2011.0
Østerbro-Cooperative,Østerbro,12026.0,2011.0
Østerbro-Officially Owned,Østerbro,1078.0,2011.0
Amager Vest-Social,Amager Vest,6547.0,2012.0
Amager Vest-Private,Amager Vest,7049.0,2012.0
Amager Vest-Cooperative,Amager Vest,9631.0,2012.0
Amager Vest-Officially Owned,Amager Vest,333.0,2012.0
Amager Øst-Social,Amager Øst,3347.0,2012.0
Amager Øst-Private,Amager Øst,6844.0,2012.0
Amager Øst-Cooperative,Amager Øst,10524.0,2012.0
Amager Øst-Officially Owned,Amager Øst,526.0,2012.0
Bispebjerg-Social,Bispebjerg,7057.0,2012.0
Bispebjerg-Private,Bispebjerg,3722.0,2012.0
Bispebjerg-Cooperative,Bispebjerg,5153.0,2012.0
Bispebjerg-Officially Owned,Bispebjerg,342.0,2012.0
Brønshøj~Husum-Social,Brønshøj~Husum,3619.0,2012.0
Brønshøj~Husum-Private,Brønshøj~Husum,2400.0,2012.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8499.0,2012.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,70.0,2012.0
Indre By-Social,Indre By,6846.0,2012.0
Indre By-Private,Indre By,4791.0,2012.0
Indre By-Cooperative,Indre By,11789.0,2012.0
Indre By-Officially Owned,Indre By,1452.0,2012.0
Nørrebro-Social,Nørrebro,10319.0,2012.0
Nørrebro-Private,Nørrebro,8916.0,2012.0
Nørrebro-Cooperative,Nørrebro,12863.0,2012.0
Nørrebro-Officially Owned,Nørrebro,160.0,2012.0
Valby-Social,Valby,2819.0,2012.0
Valby-Private,Valby,4906.0,2012.0
Valby-Cooperative,Valby,8373.0,2012.0
Valby-Officially Owned,Valby,670.0,2012.0
Vanløse-Social,Vanløse,3456.0,2012.0
Vanløse-Private,Vanløse,3392.0,2012.0
Vanløse-Cooperative,Vanløse,6720.0,2012.0
Vanløse-Officially Owned,Vanløse,27.0,2012.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5282.0,2012.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4289.0,2012.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,11016.0,2012.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,732.0,2012.0
Østerbro-Social,Østerbro,10452.0,2012.0
Østerbro-Private,Østerbro,10251.0,2012.0
Østerbro-Cooperative,Østerbro,12122.0,2012.0
Østerbro-Officially Owned,Østerbro,1081.0,2012.0
Amager Vest-Social,Amager Vest,6639.0,2013.0
Amager Vest-Private,Amager Vest,7339.0,2013.0
Amager Vest-Cooperative,Amager Vest,9229.0,2013.0
Amager Vest-Officially Owned,Amager Vest,203.0,2013.0
Amager Øst-Social,Amager Øst,3348.0,2013.0
Amager Øst-Private,Amager Øst,6799.0,2013.0
Amager Øst-Cooperative,Amager Øst,10343.0,2013.0
Amager Øst-Officially Owned,Amager Øst,529.0,2013.0
Bispebjerg-Social,Bispebjerg,7054.0,2013.0
Bispebjerg-Private,Bispebjerg,3712.0,2013.0
Bispebjerg-Cooperative,Bispebjerg,4993.0,2013.0
Bispebjerg-Officially Owned,Bispebjerg,345.0,2013.0
Brønshøj~Husum-Social,Brønshøj~Husum,3542.0,2013.0
Brønshøj~Husum-Private,Brønshøj~Husum,2405.0,2013.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8560.0,2013.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,59.0,2013.0
Indre By-Social,Indre By,6817.0,2013.0
Indre By-Private,Indre By,5194.0,2013.0
Indre By-Cooperative,Indre By,11762.0,2013.0
Indre By-Officially Owned,Indre By,1452.0,2013.0
Nørrebro-Social,Nørrebro,10360.0,2013.0
Nørrebro-Private,Nørrebro,8816.0,2013.0
Nørrebro-Cooperative,Nørrebro,12793.0,2013.0
Nørrebro-Officially Owned,Nørrebro,157.0,2013.0
Valby-Social,Valby,2850.0,2013.0
Valby-Private,Valby,5011.0,2013.0
Valby-Cooperative,Valby,8511.0,2013.0
Valby-Officially Owned,Valby,585.0,2013.0
Vanløse-Social,Vanløse,3468.0,2013.0
Vanløse-Private,Vanløse,3338.0,2013.0
Vanløse-Cooperative,Vanløse,6597.0,2013.0
Vanløse-Officially Owned,Vanløse,27.0,2013.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5279.0,2013.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4330.0,2013.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,10997.0,2013.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,840.0,2013.0
Østerbro-Social,Østerbro,10567.0,2013.0
Østerbro-Private,Østerbro,10159.0,2013.0
Østerbro-Cooperative,Østerbro,11975.0,2013.0
Østerbro-Officially Owned,Østerbro,1093.0,2013.0
Amager Vest-Social,Amager Vest,6535.0,2014.0
Amager Vest-Private,Amager Vest,7229.0,2014.0
Amager Vest-Cooperative,Amager Vest,9721.0,2014.0
Amager Vest-Officially Owned,Amager Vest,204.0,2014.0
Amager Øst-Social,Amager Øst,3349.0,2014.0
Amager Øst-Private,Amager Øst,6827.0,2014.0
Amager Øst-Cooperative,Amager Øst,10501.0,2014.0
Amager Øst-Officially Owned,Amager Øst,515.0,2014.0
Bispebjerg-Social,Bispebjerg,6891.0,2014.0
Bispebjerg-Private,Bispebjerg,3697.0,2014.0
Bispebjerg-Cooperative,Bispebjerg,5410.0,2014.0
Bispebjerg-Officially Owned,Bispebjerg,328.0,2014.0
Brønshøj~Husum-Social,Brønshøj~Husum,3541.0,2014.0
Brønshøj~Husum-Private,Brønshøj~Husum,2446.0,2014.0
Brønshøj~Husum-Cooperative,Brønshøj~Husum,8656.0,2014.0
Brønshøj~Husum-Officially Owned,Brønshøj~Husum,55.0,2014.0
Indre By-Social,Indre By,7090.0,2014.0
Indre By-Private,Indre By,5147.0,2014.0
Indre By-Cooperative,Indre By,12028.0,2014.0
Indre By-Officially Owned,Indre By,1522.0,2014.0
Nørrebro-Social,Nørrebro,10427.0,2014.0
Nørrebro-Private,Nørrebro,8957.0,2014.0
Nørrebro-Cooperative,Nørrebro,12880.0,2014.0
Nørrebro-Officially Owned,Nørrebro,125.0,2014.0
Valby-Social,Valby,2972.0,2014.0
Valby-Private,Valby,5045.0,2014.0
Valby-Cooperative,Valby,8637.0,2014.0
Valby-Officially Owned,Valby,424.0,2014.0
Vanløse-Social,Vanløse,3468.0,2014.0
Vanløse-Private,Vanløse,3302.0,2014.0
Vanløse-Cooperative,Vanløse,6708.0,2014.0
Vanløse-Officially Owned,Vanløse,36.0,2014.0
Vesterbro~kongens Enghave-Social,Vesterbro~kongens Enghave,5423.0,2014.0
Vesterbro~kongens Enghave-Private,Vesterbro~kongens Enghave,4270.0,2014.0
Vesterbro~kongens Enghave-Cooperative,Vesterbro~kongens Enghave,11081.0,2014.0
Vesterbro~kongens Enghave-Officially Owned,Vesterbro~kongens Enghave,724.0,2014.0
Østerbro-Social,Østerbro,10553.0,2014.0
Østerbro-Private,Østerbro,10073.0,2014.0
Østerbro-Cooperative,Østerbro,12047.0,2014.0
Østerbro-Officially Owned,Østerbro,1107.0,2014.0
